DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2019,890194,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2020,902429,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2021,914476,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2022,929764,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Cyprus,2023,949084,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2018,10610055,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2019,10649800,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2020,10693939,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2021,10494836,b,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2022,10516707,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Czechia,2023,10827529,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany,2018,82792351,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany,2019,83019213,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany,2020,83166711,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany,2021,83155031,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany,2022,83237124,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany,2023,83118501,b,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany including former GDR,2018,82792351,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany including former GDR,2019,83019213,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany including former GDR,2020,83166711,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany including former GDR,2021,83155031,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany including former GDR,2022,83237124,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Germany including former GDR,2023,83118501,b,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Denmark,2018,5781190,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Denmark,2019,5806081,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Denmark,2020,5822763,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Denmark,2021,5840045,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Denmark,2022,5873420,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Denmark,2023,5932654,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Estonia,2018,1319133,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Estonia,2019,1324820,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Estonia,2020,1328976,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Estonia,2021,1330068,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Estonia,2022,1331796,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Estonia,2023,1365884,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2018,513228429,e,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2019,514537646,b,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2020,515878092,e,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2018,517257135,e,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2019,518520617,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2020,519826027,e,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,European Free Trade Association,2018,14166313,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,European Free Trade Association,2019,14268108,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,European Free Trade Association,2020,14376494,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,European Free Trade Association,2021,14469516,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,European Free Trade Association,2022,14579617,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,European Free Trade Association,2023,14731804,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Greece,2018,10741165,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Greece,2019,10724599,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Greece,2020,10718565,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Greece,2021,10678632,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Greece,2022,10461627,b,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Greece,2023,10413982,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Spain,2018,46645070,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Spain,2019,46918951,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Spain,2020,47318050,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Spain,2021,47400798,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Spain,2022,47486843,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Spain,2023,48085361,,
ESTAT:DEMO_PJAN(1.0),22/01/26 11:00:00,Annual,Number,Total,Total,Finland,2018,5513130,,
